id,host_id,host_response_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,extra_people,minimum_nights,instant_bookable,cancellation_policy,review_scores_location,review_scores_value,number_of_reviews
13304296,69609516,1.0,False,True,False,False,Apartment,Entire home/apt,4,1.0,2.0,3.0,Real Bed,99.0,0.0,1,False,flexible,9.0,9.0,16
16319606,12535058,1.0,False,True,True,True,House,Entire home/apt,8,2.5,4.0,6.0,Real Bed,180.0,0.0,2,False,moderate,10.0,10.0,1
7416507,10245600,1.0,False,True,True,False,Apartment,Entire home/apt,4,1.0,2.0,2.0,Real Bed,85.0,0.0,3,False,moderate,9.0,10.0,7
14483521,85452197,1.0,True,True,False,False,Apartment,Entire home/apt,6,1.0,2.0,3.0,Real Bed,65.0,23.0,2,True,strict,10.0,10.0,17
5712675,29618501,1.0,False,True,True,False,Apartment,Private room,3,1.0,1.0,2.0,Real Bed,24.0,12.0,1,False,strict,9.0,9.0,41
13955343,8163110,0.88,False,True,True,False,Apartment,Entire home/apt,4,2.0,1.0,1.0,Real Bed,85.0,0.0,2,False,strict,8.0,10.0,4
12512426,67763598,0.6,False,True,False,False,Apartment,Entire home/apt,3,1.0,2.0,2.0,Real Bed,70.0,0.0,1,False,flexible,10.0,10.0,4
7043527,36933760,1.0,False,True,True,False,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,58.0,0.0,1,False,flexible,9.0,9.0,11
10673656,52741688,1.0,False,True,False,False,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,60.0,0.0,5,False,moderate,9.0,10.0,6
16731086,110937451,1.0,False,True,False,False,House,Entire home/apt,3,1.0,0.0,2.0,Real Bed,90.0,0.0,1,True,strict,10.0,10.0,1
9263269,30190840,1.0,True,True,True,False,Bed & Breakfast,Private room,2,1.0,1.0,1.0,Real Bed,50.0,10.0,1,True,moderate,10.0,10.0,28
4356007,22611343,1.0,True,True,True,True,House,Entire home/apt,10,4.0,5.0,7.0,Real Bed,325.0,20.0,2,False,strict,10.0,10.0,30
15278535,97223602,1.0,False,True,True,False,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,25.0,5.0,1,True,flexible,9.0,10.0,15
5817317,18868250,0.83,False,True,True,True,Apartment,Private room,1,1.0,1.0,1.0,Pull-out Sofa,35.0,0.0,1,False,strict,9.0,9.0,7
14991542,94505200,1.0,False,True,True,True,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,40.0,15.0,1,True,moderate,10.0,10.0,3
9488185,48645021,0.8,False,True,False,False,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,40.0,0.0,1,True,flexible,8.0,8.0,1
2476333,12665529,1.0,False,True,False,True,House,Private room,1,1.0,1.0,1.0,Real Bed,25.0,0.0,7,False,strict,8.0,9.0,15
8337869,43950945,1.0,False,True,True,True,Apartment,Entire home/apt,4,2.0,2.0,2.0,Real Bed,122.0,0.0,4,False,strict,9.0,9.0,13
13552086,78038208,0.8,True,True,True,True,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,35.0,5.0,1,False,moderate,10.0,10.0,30
1406006,2271813,1.0,True,True,False,True,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,39.0,12.0,1,False,strict,9.0,9.0,45
13553348,77455144,1.0,False,True,True,False,House,Private room,1,1.0,1.0,1.0,Real Bed,30.0,0.0,2,False,moderate,9.0,9.0,4
16819545,43483271,1.0,False,True,False,True,House,Private room,2,1.0,1.0,1.0,Real Bed,30.0,5.0,1,False,flexible,9.0,10.0,3
1231996,151192,1.0,True,True,True,True,House,Private room,3,1.0,1.0,1.0,Real Bed,50.0,15.0,1,False,moderate,9.0,9.0,76
414862,1961527,1.0,False,True,False,True,House,Private room,1,1.0,1.0,1.0,Futon,25.0,0.0,2,False,moderate,10.0,10.0,64
2523788,3478187,1.0,True,True,True,True,House,Entire home/apt,9,1.0,3.0,6.0,Real Bed,83.0,0.0,3,False,strict,10.0,10.0,6
6849065,27121841,1.0,False,True,False,False,House,Private room,2,1.0,1.0,2.0,Real Bed,40.0,10.0,1,False,flexible,10.0,9.0,15
15626548,73139947,1.0,False,True,True,True,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,74.0,12.0,2,False,strict,9.0,10.0,4
3697446,18751651,1.0,False,True,True,True,Apartment,Entire home/apt,4,2.0,2.0,3.0,Real Bed,94.0,0.0,3,False,strict,10.0,9.0,64
14116521,67904006,1.0,True,True,False,True,House,Private room,4,1.0,2.0,2.0,Real Bed,125.0,0.0,1,False,strict,10.0,10.0,1
15710625,15315187,1.0,False,True,True,True,House,Private room,2,1.0,1.0,1.0,Real Bed,45.0,0.0,1,False,moderate,10.0,10.0,11
16991832,19728300,1.0,False,True,False,False,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,35.0,0.0,1,True,flexible,9.0,9.0,2
16376358,1731959,1.0,False,True,True,True,House,Private room,1,1.0,1.0,1.0,Real Bed,37.0,20.0,2,False,moderate,8.0,10.0,1
13913318,12746564,1.0,False,True,True,False,House,Entire home/apt,4,1.0,2.0,2.0,Real Bed,100.0,0.0,3,False,flexible,8.0,10.0,1
7491348,39234812,1.0,True,True,True,False,Apartment,Entire home/apt,6,2.0,3.0,4.0,Real Bed,185.0,20.0,4,False,moderate,10.0,9.0,15
16533385,83699073,1.0,False,True,False,False,Bed & Breakfast,Private room,2,0.5,1.0,1.0,Real Bed,30.0,10.0,1,False,flexible,10.0,10.0,1
14311335,49057012,1.0,False,True,True,False,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,77.0,0.0,4,False,moderate,10.0,10.0,2
13511353,7802896,1.0,False,True,False,False,House,Private room,2,1.0,1.0,1.0,Real Bed,35.0,0.0,2,False,flexible,10.0,10.0,5
4458068,23107690,1.0,False,True,True,True,House,Entire home/apt,11,3.5,5.0,6.0,Real Bed,290.0,20.0,2,False,strict,10.0,10.0,8
13873467,4532610,1.0,True,True,True,True,Townhouse,Private room,2,1.0,1.0,2.0,Real Bed,60.0,0.0,1,False,flexible,10.0,10.0,15
8922017,17249646,0.9,False,True,False,False,House,Private room,1,1.0,1.0,1.0,Real Bed,19.0,7.0,1,False,flexible,10.0,10.0,2
8084116,42487500,1.0,False,True,True,False,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,115.0,0.0,1,False,moderate,9.0,8.0,4
14689006,5733157,0.9,False,True,True,True,Apartment,Entire home/apt,4,1.0,2.0,3.0,Real Bed,71.0,0.0,3,False,flexible,9.0,10.0,3
10494421,51206977,1.0,False,True,False,True,House,Private room,2,2.0,1.0,1.0,Real Bed,26.0,5.0,1,True,strict,9.0,9.0,14
487783,2413601,1.0,True,True,True,True,Bed & Breakfast,Private room,2,1.0,1.0,2.0,Real Bed,35.0,25.0,2,False,moderate,10.0,9.0,68
8651444,45469611,1.0,True,True,False,True,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,58.0,0.0,2,False,strict,10.0,10.0,10
4984252,25693617,1.0,False,True,True,True,Bed & Breakfast,Private room,6,2.0,1.0,3.0,Real Bed,80.0,40.0,1,False,flexible,9.0,9.0,6
13502656,77455144,1.0,False,True,True,False,House,Private room,2,1.0,1.0,1.0,Real Bed,35.0,25.0,2,False,strict,10.0,10.0,13
5187349,22611343,1.0,True,True,True,True,House,Private room,2,1.0,1.0,1.0,Real Bed,60.0,0.0,1,False,strict,10.0,10.0,22
14354497,17661141,0.9,False,True,True,False,Apartment,Private room,2,1.0,1.0,1.0,Pull-out Sofa,44.0,0.0,1,False,moderate,10.0,9.0,14
17040543,604172,0.75,False,True,False,True,House,Private room,1,1.0,1.0,1.0,Real Bed,30.0,0.0,1,True,flexible,10.0,10.0,1
1836056,1794020,1.0,False,True,False,False,Apartment,Entire home/apt,6,1.0,2.0,4.0,Real Bed,99.0,10.0,3,False,strict,10.0,9.0,20
14418818,34769575,1.0,False,True,True,False,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,18.0,0.0,2,False,flexible,8.0,10.0,1
2714787,13892353,1.0,False,True,True,True,House,Private room,2,1.5,1.0,2.0,Real Bed,45.0,0.0,2,False,moderate,9.0,10.0,101
14518095,50104145,1.0,True,True,False,False,Other,Entire home/apt,7,2.0,3.0,6.0,Real Bed,120.0,0.0,1,False,flexible,10.0,10.0,13
7087470,31805204,1.0,False,True,True,True,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,71.0,0.0,1,False,flexible,10.0,10.0,3
14378364,45130204,1.0,False,True,True,False,House,Entire home/apt,7,1.0,4.0,4.0,Real Bed,135.0,0.0,1,False,flexible,9.0,10.0,9
1003867,1023326,1.0,False,True,False,True,House,Private room,4,1.0,1.0,3.0,Real Bed,35.0,10.0,1,True,strict,8.0,9.0,71
14404694,66134230,0.97,False,True,False,False,House,Entire home/apt,5,2.0,2.0,5.0,Real Bed,100.0,0.0,2,False,strict,10.0,8.0,1
13214880,72850980,1.0,True,True,True,True,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,75.0,0.0,3,True,moderate,9.0,10.0,6
14783790,6565808,1.0,False,True,False,True,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,33.0,0.0,1,True,flexible,10.0,10.0,5
454289,1964720,1.0,False,True,False,True,House,Private room,2,1.0,1.0,1.0,Real Bed,39.0,5.0,1,False,strict,10.0,10.0,3
4961809,25578555,1.0,False,True,True,True,House,Private room,2,1.5,1.0,2.0,Real Bed,30.0,10.0,1,False,flexible,9.0,9.0,8
16191271,104529827,1.0,False,True,True,True,House,Private room,1,1.0,1.0,1.0,Real Bed,23.0,19.0,1,True,moderate,10.0,10.0,2
10590446,54608267,1.0,True,True,False,True,House,Entire home/apt,4,1.0,3.0,4.0,Real Bed,120.0,30.0,1,False,flexible,10.0,10.0,1
